origen,destino,tipo_dia,viajes
29053,29067,laborable,909.724
41051,41091,festivo,897.326
21042,41091,festivo,893.965
41041_AM,41091,festivo,888.504
41904,41091,laborable,887.459
11014,41091,laborable,874.417
29001,29067,laborable,872.018
14049,41091,festivo,870.244
41042,41091,festivo,867.443
18017,29067,festivo,859.511
41038,29067,laborable,854.8629999999999
29089_AM,29067,festivo,850.241
21010,41091,festivo,848.952
21072,41091,laborable,848.188
PT11A,29067,festivo,838.235
18122_AM,29067,festivo,836.886
18134,29067,festivo,833.206
29049_AM,29067,laborable,833.197
21060,41091,festivo,832.757
04079,29067,laborable,826.763
41046_AM,41091,laborable,826.73
29100,29067,festivo,822.476
11008,29067,laborable,817.808
21050,41091,festivo,815.859
29069,41091,laborable,815.603
externo,29067,laborable,813.981
29059,29067,laborable,811.95
29045,29067,laborable,807.106
41099,41091,festivo,803.806
11028,41091,festivo,800.971
29084,41091,laborable,800.357
04902,29067,laborable,797.835
14036,41091,laborable,796.662
21021,41091,festivo,790.1800000000001
29086_AM,29067,festivo,787.569
23050,41091,laborable,786.841
14056,29067,festivo,784.514
04013,29067,festivo,770.866
21053_AM,41091,laborable,767.697
41052,41091,laborable,767.407
29090_AM,29067,festivo,763.299
41033_AM,41091,festivo,762.115
29027_AM,29067,festivo,745.215
11022,41091,laborable,744.021
21049,41091,laborable,741.713
14056,41091,laborable,741.688
21032_AM,41091,laborable,740.171
11029,41091,laborable,738.362
FR107,29067,festivo,737.868
41074,41091,laborable,732.27
21056,41091,laborable,731.081
06011,41091,laborable,728.164
PT170,41091,festivo,724.678
21043_AM,41091,festivo,722.959
18140,29067,festivo,721.693
06158,41091,laborable,715.139
11020,29067,laborable,715.039
41036,41091,festivo,713.981
29015_AM,41091,laborable,712.087
11006,41091,festivo,707.553
11022,29067,festivo,701.533
08019,29067,laborable,701.311
11004,41091,festivo,697.273
18021,29067,laborable,690.032
41022,41091,festivo,683.487
41902,41091,festivo,681.482
21002,41091,festivo,681.351
11035,29067,laborable,674.929
FR102,29067,festivo,674.53
PT170,41091,laborable,673.833
10037,41091,laborable,663.439
21061,41091,festivo,661.991
29031_AM,29067,festivo,659.958
11033,41091,laborable,651.707
PT11A,41091,laborable,649.849
21043_AM,41091,laborable,648.921
11007,41091,laborable,647.046
41048_AM,41091,laborable,646.148
04013,41091,laborable,645.74
21074_AM,41091,festivo,637.034
14010,29067,laborable,634.153
29041,29067,laborable,633.009
29095_AM,29067,festivo,625.136
46250,41091,laborable,622.231
11033,29067,festivo,621.625
FR101,29067,laborable,621.467
29084,41091,festivo,621.437
PT170,29067,festivo,620.829
51001,29067,laborable,619.269
06085_AM,41091,festivo,617.844
23050,29067,festivo,612.632
06015,41091,festivo,605.309
41048_AM,41091,festivo,587.341
FR105,29067,laborable,579.352
FR105,29067,festivo,575.892
FR101,29067,festivo,571.242
06052_AM,41091,laborable,567.633
41097,41091,festivo,559.545
21052_AM,41091,laborable,558.527
18134,41091,festivo,557.08
29088,29067,laborable,556.092
14058,29067,laborable,554.433
41064,41091,festivo,554.101
41003,41091,festivo,553.132
29068,29067,festivo,552.028
11038,41091,laborable,552.013
29076_AM,29067,festivo,549.989
29079,29067,festivo,536.853
18153,29067,laborable,536.464
14013,29067,laborable,534.206
21072,41091,festivo,533.398
41004,29067,laborable,532.77
21035,41091,laborable,530.986
29053,29067,festivo,525.611
18003,29067,laborable,518.701
14017,41091,laborable,518.499
11007,41091,festivo,517.526
07040,41091,laborable,516.808
41025_AM,41091,festivo,516.6800000000001
21064,41091,laborable,515.223
41078,41091,laborable,511.726
06083,41091,festivo,501.179
29023,29067,festivo,498.586
11017,41091,laborable,497.87
11002,29067,laborable,497.099
11005_AM,41091,laborable,494.386
FR107,41091,laborable,490.791
14038,41091,laborable,489.211
11039,41091,laborable,488.822
11008,41091,laborable,485.555
21070,41091,laborable,479.182
FR104,29067,festivo,479.094
